,imdb_id,tmdb_rating,tmdb_votes,popularity
4834,tt1823664,6.2,886,17.194
4835,tt1823672,6.7,5459,30.625
4836,tt1824254,6.7,95,6.507
4837,tt1825683,7.4,14490,47.2
4838,tt1825784,4.7,13,2.871
4839,tt1826590,6.0,353,7.379
4840,tt1826753,4.3,3,1.29
4841,tt1827487,7.6,219,6.082
4842,tt1827512,7.3,228,6.953
4843,tt1827528,7.0,22,1.81
4844,tt1828229,7.4,76,5.039
4845,tt1828995,6.4,284,7.048
4846,tt1830786,4.0,12,1.169
4847,tt1830792,6.9,39,2.758
4848,tt1831609,6.0,3,0.747
4849,tt1832382,8.0,912,11.048
4850,tt1833116,6.4,121,38.442
4851,tt1833673,5.9,156,5.959
4852,tt1833844,6.1,182,5.933
4853,tt1836808,6.4,220,7.921
4854,tt1837562,6.6,199,7.529
4855,tt1837613,5.8,44,4.867
4856,tt1837636,6.0,148,8.016
4857,tt1837703,6.0,617,8.133
4858,tt1837709,6.2,915,10.688
4859,tt1839492,7.1,1019,8.903
4860,tt1839596,7.3,85,6.305
4861,tt1839642,6.2,79,6.824
4862,tt1839654,7.0,212,7.586
4863,tt1840309,6.9,9166,21.101
4864,tt1840417,6.6,712,9.477
4865,tt1841542,7.0,31,2.392
4866,tt1842520,5.0,1,0.6
4867,tt1843287,7.2,110,6.62
4868,tt1843866,7.7,12417,17.274
4869,tt1845213,0.0,0,0.6
4870,tt1845773,7.2,55,5.359
4871,tt1845804,7.4,18,3.475
4872,tt1845849,5.4,25,3.17
4873,tt1846472,6.3,46,3.165
4874,tt1846487,7.2,159,6.265
4875,tt1846589,6.4,945,16.441
4876,tt1847713,5.6,28,2.43
4877,tt1847731,7.3,355,7.025
4878,tt1847746,6.5,72,3.299
4879,tt1848771,5.8,22,1.853
4880,tt1848826,5.8,4,3.394
4881,tt1849718,6.5,82,4.955
4882,tt1850397,6.4,866,18.353
4883,tt1852770,3.5,106,6.851
4884,tt1853643,5.6,56,5.105
4885,tt1853728,8.1,17695,35.518
4886,tt1854236,5.9,171,8.691
4887,tt1854513,7.3,142,6.409
4888,tt1854564,5.9,3495,20.803
4889,tt1855199,7.3,1977,10.99
4890,tt1855325,5.7,2566,1.912
4891,tt1855401,5.8,64,5.244
4892,tt1856038,5.8,5,2.826
4893,tt1856057,7.1,29,3.407
4894,tt1856101,7.4,7834,56.99
4895,tt1856109,6.0,4,3.522
4896,tt1859553,9.0,1,0.976
4897,tt1859650,5.7,1281,11.411
4898,tt1860152,5.5,213,4.753
4899,tt1860213,5.8,2956,14.669
4900,tt1860353,6.1,2003,11.271
4901,tt1860357,6.7,2896,13.571
4902,tt1861281,5.0,1,2.891
4903,tt1862079,6.9,875,9.204
4904,tt1864288,6.7,65,4.912
4905,tt1864405,5.7,27,5.265
4906,tt1865505,8.1,801,11.203
4907,tt1866249,6.9,331,8.817
4908,tt1867093,5.6,123,8.705
4909,tt1869347,6.4,434,10.354
4910,tt1869716,6.6,488,8.351
4911,tt1870529,6.4,74,5.885
4912,tt1870548,5.7,3,3.498
4913,tt1872101,6.8,60,3.732
4914,tt1872102,6.8,68,2.827
4915,tt1872181,6.4,8079,25.049
4916,tt1872194,7.3,2629,16.59
4917,tt1872818,6.4,317,7.358
4918,tt1874513,7.2,9,2.118
4919,tt1876373,4.5,6,1.066
4920,tt1876451,6.1,58,5.814
4921,tt1877832,7.5,11027,32.392
4922,tt1878870,7.2,2615,11.331
4923,tt1881002,5.3,1067,17.048
4924,tt1883180,6.9,230,6.253
4925,tt1883367,3.6,386,12.664
4926,tt1884268,5.8,9,1.209
4927,tt1884457,5.1,58,5.901
4928,tt1885265,6.3,77,5.337
4929,tt1885448,5.8,4,1.985
4930,tt1891757,7.1,13,1.272
4931,tt1891884,5.4,20,1.617
4932,tt1893269,8.0,12,3.911
4933,tt1893326,6.0,10,0.6
4934,tt1894476,6.6,503,7.853
4935,tt1894561,6.0,40,5.991
4936,tt1901040,6.3,179,7.098
4937,tt1904996,5.8,2017,12.71
4938,tt1905041,6.8,7614,2.539
4939,tt1906329,5.6,69,5.794
4940,tt1906443,0.0,0,1.258
4941,tt1907639,5.1,8,1.825
4942,tt1907668,6.7,3933,14.797
4943,tt1907731,5.2,38,3.679
4944,tt1911553,6.1,320,7.272
4945,tt1911658,6.4,2543,24.049
4946,tt1915581,6.1,2065,9.563
4947,tt1918727,5.6,16,2.855
4948,tt1918886,3.6,24,2.227
4949,tt1918965,5.7,28,1.977
4950,tt1920849,5.4,843,7.938
4951,tt1921064,5.4,2309,12.196
